"Media ID","Title","Sort title","Studio","Content Rating","Year","Rating","Summary","Genres","View Count","Last Viewed at","Tagline","Release Date","Writers","Country","Duration","Directors","Roles","Labels","Locked Fields","Extras","Collections","Original Title","Added","Updated","Audio Languages","Audio Title","Subtitle Languages","Subtitle Title","Subtitle Codec","Subtitle Forced","Accessible","Exists","MetaDB Link","MetaData Language","Poster url","Art url","Chapter Source","Chapter Title"
"6029","2001: A Space Odyssey","2001: A Space Odyssey","Metro-Goldwyn-Mayer","G","1968","9.3","Humanity finds a mysterious object
buried beneath the lunar surface and
sets off to find its origins with the
help of HAL 9000, the world's most
advanced super computer.","Adventure - Sci-Fi","N/A","N/A","The ultimate trip","1968-04-09","Stanley Kubrick - Arthur C. Clarke","United Kingdom","2:28:51","Stanley Kubrick","Keir Dullea - Gary Lockwood - William
Sylvester - Douglas Rain - Daniel
Richter - Leonard Rossiter - Margaret
Tyzack - Robert Beatty - Sean Sullivan -
Frank Miller - Ed Bishop - Edwina
Carroll - Heather Downham - Judy Kiern -
Alan Gifford - Ann Gillis - Vivian
Kubrick - Kenneth Kendall - Kevin Scott
- Martin Amor - Bill Weston - John
Ashley - Terry Duggan - Richard Woods -
S. Newton Anderson - Sheraton Blount -
Irena Marr - Burnell Tucker - John
Swindells - John Clifford","N/A","N/A","0","N/A","2001: A Space Odyssey","2018-10-16","2018-10-17","N/A","N/A","eng - chi - chi - eng","N/A - N/A - N/A - N/A","srt - srt - srt - srt","N/A - N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt0062622","en","/library/metadata/6029/thumb/1539796557","/library/metadata/6029/art/1539796557","N/A","N/A"
"6463","21 Up","21 Up","N/A","N/A","1977","8.2","After another 7 year wait, director
Michael Apted revisits the same group of
British-born children from Seven Up! and
7 Plus Seven. The subjects are
interviewed as to the changes that have
occurred in their lives during the last
seven years.","Documentary - Biography","N/A","N/A","N/A","1977-01-01","N/A","United Kingdom","1:39:46","Michael Apted","Bruce Balden - Jacqueline Bassett","N/A","collection","0","The UP Series","21 Up","2018-11-24","2018-11-25","eng","英语","N/A - eng - eng","N/A - N/A - N/A","srt - srt - srt","N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt0075610","en","/library/metadata/6463/thumb/1543173683","/library/metadata/6463/art/1543173683","N/A","N/A"
"6462","28 Up","28 Up","N/A","N/A","1984","7.8","Just two years away from turning 30,
participants in Michael Apted's
documentary series are facing serious
questions of identity and purpose,
wondering whether they've found their
place in the world.","Documentary","N/A","N/A","N/A","1984-11-20","N/A","United Kingdom","2:15:32","Michael Apted","N/A","N/A","collection","0","The UP Series","28 Up","2018-11-24","2018-11-25","eng","英语","eng - eng - eng","N/A - N/A - N/A","srt - srt - srt","N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt0088650","en","/library/metadata/6462/thumb/1543166701","/library/metadata/6462/art/1543166701","N/A","N/A"
"5870","3 Idiots","3 Idiots","Vidhu Vinod Chopra Productions","PG-13","2009","10.0","In the tradition of “Ferris Bueller’s
Day Off” comes this refreshing comedy
about a rebellious prankster with a
crafty mind and a heart of gold. Rascal.
Joker. Dreamer. Genius... You've never
met a college student quite like
""Rancho."" From the moment he arrives at
India's most prestigious university,
Rancho's outlandish schemes turn the
campus upside down—along with the lives
of his two newfound best friends.
Together, they make life miserable for
""Virus,"" the school’s uptight and
heartless dean. But when Rancho catches
the eye of the dean's sexy daughter,
Virus sets his sights on flunking out
the ""3 idiots"" once and for all.","Comedy - Drama","N/A","2018-10-16","Don't be Stupid. Be an I.D.I.O.T.","2009-12-23","Rajkumar Hirani - Abhijat Joshi - Vidhu
Vinod Chopra","India","2:51:07","Rajkumar Hirani","Aamir Khan - R. Madhavan - Sharman Joshi
- Omi Vaidya - Boman Irani - Ali Fazal -
Kareena Kapoor Khan - Mona Singh - Javed
Jaffrey - Parikshat Sahni - Amardeep Jha
- Jayant Kripalani - Arun Bali -
Chandrashekhar - Achyut Potdar - Aakash
Dabhade - Akhil Mishra - Atul Tiwari -
Rakesh Sharma - Pitobash","N/A","N/A","0","N/A","3 Idiots","2018-10-14","2018-10-16","N/A","N/A","eng - chi - chi - eng","N/A - N/A - N/A - N/A","srt - srt - srt - srt","N/A - N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt1187043","en","/library/metadata/5870/thumb/1539742669","/library/metadata/5870/art/1539742669","N/A","N/A"
"6213","35 Up","35 Up","N/A","N/A","1991","7.8","Director Michael Apted revisits the same
group of British-born adults after a 7
year wait. The subjects are interviewed
as to the changes that have occurred in
their lives during the last seven years.","Documentary","N/A","N/A","N/A","1991-08-29","N/A","United Kingdom","1:55:37","Michael Apted","N/A","N/A","collection","0","The UP Series","35 Up","2018-11-23","2018-11-23","eng","英语","chi - chi - eng","简 - Big5 - 英文","srt - srt - srt","N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt0101254","en","/library/metadata/6213/thumb/1542974048","/library/metadata/6213/art/1542974048","N/A","N/A"
"5136","3:10 to Yuma","3:10 to Yuma","Tree Line Films","R","2007","8.9","In Arizona in the late 1800s, infamous
outlaw Ben Wade and his vicious gang of
thieves and murderers have plagued the
Southern Railroad. When Wade is
captured, Civil War veteran Dan Evans,
struggling to survive on his drought-
plagued ranch, volunteers to deliver him
alive to the ""3:10 to Yuma"", a train
that will take the killer to trial.","Action - Adventure - Crime - Drama -
Western","N/A","2018-09-04","Time waits for one man.","2007-09-06","Michael Brandt - Derek Haas - Halsted
Welles","USA","2:03:15","James Mangold","Russell Crowe - Christian Bale - Logan
Lerman - Dallas Roberts - Peter Fonda -
Gretchen Mol - Ben Foster - Alan Tudyk -
Vinessa Shaw - Lennie Loftin - Rio
Alexander - Pat Ricotti - Shawn Howell -
Johnny Whitworth - Kevin Durand - Ramon
Frank - Deryle J. Lujan - Brian Duffy -
Jason Rodriguez - Chris Browning - Chad
Brummett - Forrest Fyre - Luke Wilson -
Benjamin Petry - Arron Shiver - Sean
Hennigan - Girard Swan - Christopher
Berry - David Oliver - Jason Henning -
Barbara Bartleson - James Blackburn -
Brian Brown - Trevor Coppola - Harp
Corrigan - Hugh Elliot - KC King -
Melinda Kramer - Brent Lambert - J.
Nathan Simmons","N/A","N/A","0","N/A","3:10 to Yuma","2018-09-01","2018-10-14","ita - eng","Audio.iTALiAN.DTS.[5.1].1509Kbps -
Audio.ENGLiSH.AC3.[5.1].640Kbps","ita - ita - eng - chi - chi","Sub.iTALiAN.(Forced) -
Sub.iTALiAN.(Hearing.Impaired) - N/A -
N/A - N/A","srt - srt - srt - srt - srt","1 - N/A - N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt0381849","en","/library/metadata/5136/thumb/1539509392","/library/metadata/5136/art/1539509392","media","Fuoco al fienile - Rivestita di ferro -
Le regole della banda - Spartizione -
Occhi verdi - Catturato a Bisbee -
Un'ora - Pericoloso - L'istinto
dell'uomo - Fosse da scavare - Verso
Contention - William - Fuga in manette -
Pronto a morire - Mille dollari - Sette
uomini - Una cosa sensata - Solo - Mai
stato un eroe - Cocciuto - ""Ce l'hai
fatta"""
"6458","42 Up","42 Up","N/A","N/A","1998","7.4","Director Michael Apted revisits the same
group of British-born adults after a 7
year wait. The subjects are interviewed
as to the changes that have occurred in
their lives during the last seven years.","Documentary","N/A","N/A","N/A","1998-07-28","N/A","United Kingdom","2:13:29","Michael Apted","Bruce Balden - Jacqueline Bassett -
Symon Basterfield - Andrew Brackfield -
John Brisby - Suzanne Dewey - Charles
Furneaux - Nicholas Hitchon - Neil
Hughes - Lynn Johnson - Paul Kligerman -
Tony Walker - Susan Sullivan","N/A","collection","0","The UP Series","42 Up","2018-11-24","2018-11-25","eng - eng","英语 - 评论","eng - eng - eng","英文 - N/A - N/A","srt - srt - srt","N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt0164312","en","/library/metadata/6458/thumb/1543169813","/library/metadata/6458/art/1543169813","N/A","N/A"
"6256","49 Up","49 Up","N/A","N/A","2005","7.2","49 Up is the seventh film in a series of
landmark documentaries that began 42
years ago when UK-based Granada's World
in Action team, inspired by the Jesuit
maxim ""Give me the child until he is
seven and I will give you the man,""
interviewed a diverse group of seven-
year-old children from all over England,
asking them about their lives and their
dreams for the future. Michael Apted, a
researcher for the original film, has
returned to interview the ""children""
every seven years since, at ages 14, 21,
28, 35, 42 and now again at age 49.In
this latest chapter, more life-changing
decisions are revealed, more shocking
announcements made and more of the
original group take part than ever
before, speaking out on a variety of
subjects including love, marriage,
career, class and prejudice.","Documentary","N/A","N/A","N/A","2005-09-15","N/A","United Kingdom","2:15:27","Michael Apted","Bruce Balden - Jacqueline Bassett -
Symon Basterfield - Andrew Brackfield","N/A","collection","0","The UP Series","49 Up","2018-11-23","2018-11-25","chi","英文","chi - chi - eng - eng - chi - chi - eng","简 - Big5 - 英文 - N/A - N/A - N/A - N/A","srt - srt - srt - srt - srt - srt - srt","N/A - N/A - N/A - N/A - N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt0473434","en","/library/metadata/6256/thumb/1543177773","/library/metadata/6256/art/1543177773","N/A","N/A"
"6044","56 Up","56 Up","ITV Studios","N/A","2012","7.4","When a cross-section of seven-year-olds
were interviewed for 7 Up in 1964 it was
immediately evident that their social
backgrounds influenced their attitudes
towards life. While the upper class
children were confident and self-
assured, those from middle and working
class backgrounds were resigned to a
challenging life of hard work. This
premise was put to the test every seven
years when the same group were
interviewed about the progression of
their lives. 49 years in the making, the
changes that occurred to the original 14
make for fascinating television and are
in many ways the stories of all our
lives. From success and disappointment,
marriage and childbirth, to poverty and
illness, nearly every facet of life has
been captured on film. Now, at the age
of 56, the group are once more brought
together and, with the benefit of
hindsight, assess whether their lives
have been ruled by circumstance or self-
determination.","Documentary","N/A","N/A","N/A","2012-05-14","N/A","Spain - United Kingdom - USA - Australia","1:08:31","Michael Apted","N/A","N/A","collection","0","The UP Series","56 Up","2018-10-16","2018-10-16","N/A","VTS_01_1 T80 2_0ch 192Kbps DELAY 0ms","eng - eng","N/A - N/A","srt - srt","N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt2147134","en","/library/metadata/6044/thumb/1539686463","/library/metadata/6044/art/1539686463","N/A","N/A"
"6460","7 Plus Seven","7 Plus Seven","N/A","N/A","1970","7.6","After a 7 year wait, director Michael
Apted revisits the same group of
British-born children from Seven Up! The
subjects are interviewed as to the
changes that have occurred in their
lives during the last seven years.","Documentary","N/A","N/A","N/A","1970-01-01","N/A","United Kingdom","0:52:07","Michael Apted","N/A","N/A","collection","0","The UP Series","7 Plus Seven","2018-11-24","2018-11-27","eng","英语","chi - chi - eng - eng","简体 - 正体 - 英语 - N/A","srt - srt - srt - srt","N/A - N/A - N/A - N/A","N/A","N/A","http://www.imdb.com/title/tt0066356","en","/library/metadata/6460/thumb/1543302570","/library/metadata/6460/art/1543302570","N/A","N/A"
